Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
T016F_S173_L002_R1_001	T016F_S173_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3166147.0	319.7 Mbp	0.0	101.0	30.0	75.37527512902831	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T016G_S185_L001_R1_001	T016G_S185_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2558511.0	258.4 Mbp	0.0	101.0	33.0	85.66669340371766	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T016G_S185_L002_R1_001	T016G_S185_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2558390.0	258.3 Mbp	0.0	101.0	33.0	86.10172380190448	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T017F_S174_L001_R1_001	T017F_S174_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2926485.0	295.5 Mbp	0.0	101.0	31.0	78.63153356073678	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T017F_S174_L002_R1_001	T017F_S174_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2933857.0	296.3 Mbp	0.0	101.0	31.0	78.95434143694447	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T017G_S186_L001_R1_001	T017G_S186_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2506004.0	253.1 Mbp	0.0	101.0	34.0	85.6290251335969	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T017G_S186_L002_R1_001	T017G_S186_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2502447.0	252.7 Mbp	0.0	101.0	34.0	85.71581831753086	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T019F_S175_L001_R1_001	T019F_S175_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3468823.0	350.3 Mbp	0.0	101.0	31.0	77.63776101149459	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T019F_S175_L002_R1_001	T019F_S175_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3490167.0	352.5 Mbp	0.0	101.0	31.0	78.2116094437973	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T019G_S187_L001_R1_001	T019G_S187_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2528567.0	255.3 Mbp	0.0	101.0	35.0	85.45882357705781	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T019G_S187_L002_R1_001	T019G_S187_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2537859.0	256.3 Mbp	0.0	101.0	35.0	85.56607794320115	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T021F_S176_L001_R1_001	T021F_S176_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3031221.0	306.1 Mbp	0.0	101.0	32.0	81.17365250180379	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T021F_S176_L002_R1_001	T021F_S176_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3055782.0	308.6 Mbp	0.0	101.0	32.0	81.41735222312205	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T021G_S188_L001_R1_001	T021G_S188_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2742355.0	276.9 Mbp	0.0	101.0	33.0	87.07516932599813	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T021G_S188_L002_R1_001	T021G_S188_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2751967.0	277.9 Mbp	0.0	101.0	33.0	87.24532841413209	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T023F_S177_L001_R1_001	T023F_S177_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3480158.0	351.4 Mbp	0.0	101.0	32.0	78.2835855776199	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T023F_S177_L002_R1_001	T023F_S177_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3496111.0	353.1 Mbp	0.0	101.0	32.0	78.47055239336534	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T023G_S189_L001_R1_001	T023G_S189_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2612773.0	263.8 Mbp	0.0	101.0	34.0	85.31531259003651	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T023G_S189_L002_R1_001	T023G_S189_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2612997.0	263.9 Mbp	0.0	101.0	34.0	85.49456536188498	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T025F_S178_L001_R1_001	T025F_S178_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2687757.0	271.4 Mbp	0.0	101.0	34.0	82.07388436832936	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T025F_S178_L002_R1_001	T025F_S178_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2695452.0	272.2 Mbp	0.0	101.0	34.0	82.38984142355793	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
